MemoryType,BlockSize,ElementType,LaunchNum,Timer,WriteTime,AverageWriteTime,WriteBandwidth,WriteAbsError,WriteRelError,ReadTime,AverageReadTime,ReadBandwidth,ReadAbsError,ReadRelError
,,,,,,,,,,,,,,
SSD,4,System.Int32,0,System.Diagnostics.Stopwatch,0.00503982,0.0040294,992.703628331761,0.00101042,25.0761900034744,0.00548261,0.00434059,921.533708551142,0.00114202,26.3102481459894
SSD,8,System.Int32,1,System.Diagnostics.Stopwatch,0.00713707,0.00824717,970.029719285525,0.0011101,13.4603748922358,0.00739164,0.00752988,1062.43392988999,0.00013824,1.8358858308499
SSD,12,System.Int32,5,System.Diagnostics.Stopwatch,0.01068136,0.0110371,1087.24211975972,0.00035574,3.22312926402769,0.01205114,0.01151048,1042.52820038782,0.00054066,4.69711080684733
SSD,16,System.Int32,1,System.Diagnostics.Stopwatch,0.01462669,0.01518686,1053.54233857427,0.000560169999999999,3.68851757374466,0.0148612,0.02319635,689.763691270394,0.00833515,35.9330239455776
SSD,20,System.Int32,4,System.Diagnostics.Stopwatch,0.01876882,0.0209357,955.30600839714,0.00216688,10.350167417378,0.02520819,0.02416625,827.600475870274,0.00104194,4.31155019914137
SSD,24,System.Int32,2,System.Diagnostics.Stopwatch,0.03624899,0.02929048,819.378856201742,0.00695850999999999,23.7568998527849,0.02563739,0.02617649,916.853252670622,0.000539100000000004,2.0594816188114
SSD,28,System.Int32,7,System.Diagnostics.Stopwatch,0.03506013,0.03219335,869.744838607974,0.00286678000000001,8.90488253008776,0.04472226,0.0323577,865.32726368067,0.01236456,38.2121102550552
SSD,32,System.Int32,4,System.Diagnostics.Stopwatch,0.02972571,0.0353682,904.767559559152,0.00564249,15.9535684598029,0.03523941,0.03299801,969.755448889191,0.0022414,6.79253082231322
SSD,36,System.Int32,4,System.Diagnostics.Stopwatch,0.0312869,0.03314435,1086.1579726258,0.00185745,5.60412257292722,0.03314976,0.03468582,1037.88810528337,0.00153606,4.42849556389325
SSD,40,System.Int32,2,System.Diagnostics.Stopwatch,0.05291485,0.04718992,847.638648253695,0.00572493,12.1316798163676,0.03987539,0.03962191,1009.54244760033,0.00025348,0.63974704904433
,,,,,,,,,,,,,,
MemoryType,BlockSize,ElementType,LaunchNum,Timer,WriteTime,AverageWriteTime,WriteBandwidth,WriteAbsError,WriteRelError,ReadTime,AverageReadTime,ReadBandwidth,ReadAbsError,ReadRelError
,,,,,,,,,,,,,,
flash,4,System.Int32,1,System.Diagnostics.Stopwatch,0.01701967,0.02811912,142.251962365821,0.01109945,39.4729635920328,0.00445554,0.00424214,942.920318518484,0.0002134,5.03047989929611
flash,8,System.Int32,0,System.Diagnostics.Stopwatch,0.05172236,0.04612321,173.448465533947,0.00559915,12.13954969743,0.00957744,0.00814387,982.333951794417,0.00143357,17.603056040924
flash,12,System.Int32,3,System.Diagnostics.Stopwatch,0.08525972,0.06980468,171.9082445475,0.01545504,22.1404066317617,0.01137975,0.01157809,1036.44038006269,0.000198340000000002,1.71306320818029
flash,16,System.Int32,3,System.Diagnostics.Stopwatch,0.0964471,0.08936018,179.050668877346,0.00708692,7.93073603925148,0.01499988,0.01569616,1019.35760083995,0.000696280000000002,4.43598943945527
flash,20,System.Int32,2,System.Diagnostics.Stopwatch,0.08447356,0.10826499,184.731924881718,0.02379143,21.9751832979433,0.01902042,0.0192213,1040.51234828029,0.000200880000000001,1.04509060261273
flash,24,System.Int32,2,System.Diagnostics.Stopwatch,0.12906925,0.12872914,186.437973562163,0.000340110000000005,0.264205913284284,0.02396034,0.02428147,988.408032956819,0.000321129999999999,1.32253113176426
flash,28,System.Int32,1,System.Diagnostics.Stopwatch,0.17688139,0.15540311,180.176574329819,0.02147828,13.8210104032023,0.02859966,0.0268762,1041.81394691214,0.00172346,6.41258808908997
flash,32,System.Int32,7,System.Diagnostics.Stopwatch,0.16040286,0.16927003,189.047051034374,0.00886717000000004,5.23847606100149,0.05262224,0.03536739,904.788280955988,0.01725485,48.787456467667
flash,36,System.Int32,2,System.Diagnostics.Stopwatch,0.19127093,0.18198354,197.820088564054,0.00928739000000001,5.10342308980252,0.03374052,0.04242993,848.457680698507,0.00868941,20.47943515344
flash,40,System.Int32,5,System.Diagnostics.Stopwatch,0.21048193,0.19810578,201.912331886531,0.01237615,6.2472432656937,0.03827078,0.04648655,860.463940645197,0.00821577,17.6734345740865
,,,,,,,,,,,,,,
MemoryType,BlockSize,ElementType,LaunchNum,Timer,WriteTime,AverageWriteTime,WriteBandwidth,WriteAbsError,WriteRelError,ReadTime,AverageReadTime,ReadBandwidth,ReadAbsError,ReadRelError
,,,,,,,,,,,,,,
RAM,0.25,System.Int32,8,System.Diagnostics.Stopwatch,0.00001798,0.0000105,23809.5238095238,0.00000748,71.2380952380952,1.57466666666667E-05,1.54533333333333E-05,16177.7394305436,2.93333333333333E-07,1.89818809318378
RAM,1,System.Int32,5,System.Diagnostics.Stopwatch,3.16333333333333E-05,0.00004952,20193.8610662359,1.78866666666667E-05,36.1200861604739,3.50333333333333E-05,0.00005134,19477.9898714453,1.63066666666667E-05,31.7621088170367
RAM,6,System.Int32,3,System.Diagnostics.Stopwatch,0.000218653333333333,0.000232813333333333,25771.7198327702,0.00001416,6.08212588053377,0.000202546666666667,0.000205073333333333,29257.8264685803,2.52666666666665E-06,1.23207958128799
,,,,,,,,,,,,,,
MemoryType,BlockSize,ElementType,LaunchNum,Timer,WriteTime,AverageWriteTime,WriteBandwidth,WriteAbsError,WriteRelError,ReadTime,AverageReadTime,ReadBandwidth,ReadAbsError,ReadRelError
,,,,,,,,,,,,,,
RAM,4,System.Int32,7,System.Diagnostics.Stopwatch,0.00022133,0.00033281,12018.8696253117,0.00011148,33.4965896457438,0.00020063,0.0002125,18823.5294117647,0.00001187,5.58588235294119
RAM,8,System.Int32,6,System.Diagnostics.Stopwatch,0.00037996,0.00043018,18596.8664280069,0.0000502199999999999,11.6741829001813,0.00039834,0.00042602,18778.4611051124,0.00002768,6.4973475423689
RAM,12,System.Int32,6,System.Diagnostics.Stopwatch,0.00058727,0.0006681,17961.383026493,0.0000808300000000001,12.0984882502619,0.00061646,0.00065601,18292.4040792061,0.0000395500000000001,6.02887151110502
RAM,16,System.Int32,3,System.Diagnostics.Stopwatch,0.00077631,0.00087481,18289.6857603365,0.0000985,11.2595877962072,0.00084136,0.00084657,18899.7956459596,5.20999999999996E-06,0.615424595721554
RAM,20,System.Int32,5,System.Diagnostics.Stopwatch,0.00111878,0.00145171,13776.8562591702,0.00033293,22.9336437718277,0.00120673,0.00127908,15636.2385464553,0.0000723499999999999,5.65640929418018
RAM,24,System.Int32,1,System.Diagnostics.Stopwatch,0.00122441,0.00132188,18155.9596937695,0.0000974699999999999,7.37358913063212,0.00130989,0.00129654,18510.8056828173,1.33499999999999E-05,1.0296635661067
RAM,28,System.Int32,6,System.Diagnostics.Stopwatch,0.00147885,0.0017864,15673.9811912226,0.00030755,17.2161889834304,0.0015218,0.00163333,17142.8921283513,0.00011153,6.82838128241077
RAM,32,System.Int32,0,System.Diagnostics.Stopwatch,0.00284503,0.00177547,18023.3966217396,0.00106956,60.2409502835869,0.00173729,0.00173201,18475.6439050583,5.27999999999987E-06,0.304848124433454
RAM,36,System.Int32,3,System.Diagnostics.Stopwatch,0.00185734,0.00185389,19418.6278581793,3.45000000000011E-06,0.186095183640891,0.00269139,0.00211849,16993.2357481036,0.0005729,27.0428465558016
RAM,40,System.Int32,8,System.Diagnostics.Stopwatch,0.002016,0.00227971,17546.091388817,0.00026371,11.5676994003623,0.0022079,0.00217752,18369.5212902752,0.00003038,1.3951651419964
MemoryType,BlockSize,ElementType,LaunchNum,Timer,WriteTime,AverageWriteTime,WriteBandwidth,WriteAbsError,WriteRelError,ReadTime,AverageReadTime,ReadBandwidth,ReadAbsError,ReadRelError
,,,,,,,,,,,,,,
RAM,0.00006103515625,System.Int32,6,System.Diagnostics.Stopwatch,6.66666666666667E-09,0,∞,6.66666666666667E-09,∞,6.66666666666667E-09,0,∞,6.66666666666667E-09,∞
RAM,0.25,System.Int32,6,System.Diagnostics.Stopwatch,8.35333333333333E-06,9.98666666666667E-06,25033.3778371162,1.63333333333333E-06,16.3551401869159,8.08666666666667E-06,0.00000842,29691.2114014252,3.33333333333334E-07,3.9588281868567
RAM,1,System.Int32,0,System.Diagnostics.Stopwatch,0.000277013333333333,0.00006018,16616.8162180126,0.000216833333333333,360.307964993907,3.46533333333333E-05,0.00003312,30193.2367149758,1.53333333333333E-06,4.62962962962961
RAM,6,System.Int32,2,System.Diagnostics.Stopwatch,0.000194993333333333,0.000289453333333333,20728.7300198075,0.00009446,32.6339306278502,0.000207333333333333,0.000225173333333333,26646.1392704879,0.00001784,7.92278540975842
,,,,,,,,,,,,,,
MemoryType,BlockSize,ElementType,LaunchNum,Timer,WriteTime,AverageWriteTime,WriteBandwidth,WriteAbsError,WriteRelError,ReadTime,AverageReadTime,ReadBandwidth,ReadAbsError,ReadRelError
,,,,,,,,,,,,,,
SSD,4,System.Int32,3,System.Diagnostics.Stopwatch,0.00292016666666667,0.00283173333333333,1412.56238817214,8.84333333333333E-05,3.12294001318392,0.00250944,0.00268278,1490.99068876315,0.00017334,6.46120814975511
SSD,8,System.Int32,7,System.Diagnostics.Stopwatch,0.00451938666666667,0.00498604666666667,1604.47756204983,0.00046666,9.35931873882715,0.00479621333333333,0.00521830666666667,1533.06436570739,0.000422093333333334,8.08870310419984
SSD,12,System.Int32,8,System.Diagnostics.Stopwatch,0.00658880666666667,0.0074434,1612.16648305882,0.000854593333333333,11.4812227387126,0.0076788,0.0077855,1541.32682550896,0.0001067,1.37049643568171
SSD,16,System.Int32,8,System.Diagnostics.Stopwatch,0.01086146,0.00974451333333334,1641.94962361726,0.00111694666666667,11.4623134933367,0.00986140666666667,0.0118720933333333,1347.69829976629,0.00201068666666667,16.9362437626838
SSD,20,System.Int32,1,System.Diagnostics.Stopwatch,0.01242316,0.01232604,1622.58113716976,9.71199999999992E-05,0.787925400209631,0.0136215933333333,0.0130363466666667,1534.17215047979,0.000585246666666666,4.48934568580563
SSD,24,System.Int32,0,System.Diagnostics.Stopwatch,0.0175785,0.0164699733333333,1457.19725917387,0.00110852666666666,6.73059175161586,0.02378064,0.0155805733333333,1540.37977207514,0.00820006666666667,52.6300700958373
